REVEAL__blur_euclidean,LRP__blur_euclidean,Same_Classification__blur,REVEAL__gausian_small_euclidean,LRP__gausian_small_euclidean,Same_Classification__gausian_small,REVEAL__gausian_big_euclidean,LRP__gausian_big_euclidean,Same_Classification__gausian_big
0.0029247941911242,0.0035247549372074,False,,,,,,
,,,0.0015651699628355,0.0023738289596924,True,,,
,,,,,,0.0025501772600573,0.0058614300142007,True
0.0016691164432186,0.0034288282569155,False,,,,,,
,,,0.0056621779998814,0.0021606542300472,False,,,
,,,,,,0.0177233944029467,0.0078159906062606,False
0.0006926609615761,0.0029985108956523,False,,,,,,
,,,0.0006380945530185,0.0028453932684093,False,,,
,,,,,,0.0050382118635465,0.0077247543580956,False
0.0028081005850544,0.0037796733199569,False,,,,,,
,,,0.0022167628775022,0.0036818934242558,False,,,
,,,,,,0.005017389360882,0.0076989217717257,False
0.004529710307341,0.0035429574035405,False,,,,,,
,,,0.0038106179815929,0.0026222485563683,False,,,
,,,,,,0.0041236043375497,0.0069295938286143,False
6.806291430172378e-05,0.0043814291615248,False,,,,,,
,,,0.0008965774045379,0.0021465901202452,False,,,
,,,,,,0.0007069074774159,0.0127688568759291,False
0.0012741240089533,0.0031935218471527,True,,,,,,
,,,0.0002896610420241,0.0022992279101369,True,,,
,,,,,,0.0064049051495963,0.0081568383622667,False
0.001215536339045,0.0034089687009498,False,,,,,,
,,,0.0010437817027311,0.0031884019740161,False,,,
,,,,,,0.0038944952328018,0.005925949126775,False
0.0013906974155859,0.0042763168020719,False,,,,,,
,,,0.0023730889828981,0.0039385666477196,False,,,
,,,,,,0.00271655754721,0.0076808057020538,False
0.0002308710652141,0.0041730035806303,True,,,,,,
,,,0.0005633402947565,0.0039793516151651,True,,,
,,,,,,0.0052944797787797,0.0083232604067188,False
0.0013942931631441,0.004127381152901,True,,,,,,
,,,0.0005826088726621,0.0038300500006286,True,,,
,,,,,,0.0037752760543247,0.006272210157387,True
0.00188034139407,0.0026417039319734,True,,,,,,
,,,0.0005126191130901,0.0017699159661335,True,,,
,,,,,,0.0052867736781532,0.0076352403435124,False
0.0012484804272832,0.0041617362740375,True,,,,,,
,,,0.0012478958529453,0.0034653587898424,True,,,
,,,,,,0.0042063004911722,0.0085229139471531,False
0.0008333051460583,0.0020259613643063,True,,,,,,
,,,0.0018124391326845,0.0015290551942952,True,,,
,,,,,,0.0027566944473381,0.008021382366147,False
0.0042724519087579,0.0067939231032313,False,,,,,,
,,,0.003467379291692,0.0061242597778624,False,,,
,,,,,,0.0037623762781531,0.0081858473522352,False
0.00480263792885,0.0047273568504254,False,,,,,,
,,,0.0044061159149215,0.0041568878532102,True,,,
,,,,,,0.0040844168251029,0.0083909683421325,False
0.0004220328850652,0.0034091762057306,False,,,,,,
,,,0.0005620837990451,0.0032929776318684,True,,,
,,,,,,0.0040904212234606,0.0057586184456966,False
0.0009695372020756,0.0067206515212272,False,,,,,,
,,,0.0008817328880832,0.0044873666327512,True,,,
,,,,,,0.0022577558236494,0.0165774363420638,False
0.0036338851877738,0.0035991123284581,True,,,,,,
,,,0.0036796631437793,0.0032918626494962,True,,,
,,,,,,0.0021165392854271,0.0068584957990387,False
0.0014241994851019,0.0028556876434377,True,,,,,,
,,,0.0006242814490975,0.0021619624841516,True,,,
,,,,,,0.0031000616132054,0.0072602093531387,False
0.0039994401679485,0.0025360765880463,False,,,,,,
,,,0.0041885150571226,0.0021424120628098,True,,,
,,,,,,0.0009271068050092,0.006349524970272,False
0.0024328322910365,0.0051545961838577,False,,,,,,
,,,0.0022051794833895,0.003357011893386,True,,,
,,,,,,0.0133740805847459,0.0095571933799728,False
0.0027482484386683,0.0043300427821963,False,,,,,,
,,,0.0043110913437686,0.004122622571146,False,,,
,,,,,,0.0187635713047953,0.0096902313247331,False
0.0002959295159403,0.0037331189315244,True,,,,,,
,,,0.000932421374442,0.0034023482457826,True,,,
,,,,,,0.0033665235114646,0.006657042117455,True
0.0004764589172303,0.0043405954588397,True,,,,,,
,,,7.139045239332395e-05,0.0037623697694445,True,,,
,,,,,,0.0040664301571376,0.0091380749094897,False
0.0050467473404745,0.00406007216114,False,,,,,,
,,,0.0023567397556798,0.0036236991849764,False,,,
,,,,,,0.012489153345146,0.0066010405707221,False
0.001917416096754,0.0022407841770326,True,,,,,,
,,,0.0010075631328482,0.0013124829560248,True,,,
,,,,,,0.0069333365990579,0.007213518222232,False
0.0010932254658848,0.0041764543613178,False,,,,,,
,,,0.0013644061503937,0.0039452281033639,False,,,
,,,,,,0.0036083459036303,0.008219583384784,False
0.0026301122866781,0.0029879168547949,False,,,,,,
,,,0.0030067540530117,0.0028202136039695,True,,,
,,,,,,0.0103756496805717,0.0072004396667688,False
0.0019876922814761,0.0020502174996872,True,,,,,,
,,,0.0014102525413471,0.0018298544158605,False,,,
,,,,,,0.0012398089852645,0.0039661901336818,False
0.0018909643643283,0.0033847353664574,True,,,,,,
,,,0.0011105623455462,0.0024251403601382,True,,,
,,,,,,0.0053805122826343,0.0095485309176609,False
0.001361327056306,0.0023465110752351,True,,,,,,
,,,0.0023309954521064,0.0020078122093629,True,,,
,,,,,,0.0055149604834509,0.0080687017446284,False
0.0009409567490778,0.0039326692054106,False,,,,,,
,,,0.0007978943761466,0.0020666875271671,False,,,
,,,,,,0.0135030372265523,0.0134501281723415,False
0.0008914323799851,0.0013056963790711,True,,,,,,
,,,0.000147894192513,0.0002249826247826,False,,,
,,,,,,0.0041673922231808,0.0055444612399243,False
0.00068994948696,0.0016198052278429,True,,,,,,
,,,0.0002897467097825,0.001557681674585,True,,,
,,,,,,0.0032537577117579,0.0058626022133115,False
0.0010773249646149,0.0036267176684803,True,,,,,,
,,,0.0022483452454564,0.0033046058186978,True,,,
,,,,,,0.0061067036988278,0.0066774884677929,True
0.0013651724905891,0.0039115401192088,True,,,,,,
,,,0.001465204681203,0.003450347441677,True,,,
,,,,,,0.0020235299102552,0.0055160684140252,False
0.0057330559836073,0.0027581680056327,True,,,,,,
,,,0.0060864578862627,0.0026825944194954,True,,,
,,,,,,0.0077914385603126,0.006093702888282,False
0.0040793435805363,0.0039090018388429,False,,,,,,
,,,0.0023736801085073,0.0031391793932821,True,,,
,,,,,,0.005266306699752,0.0064696712994706,False
0.0020922929481573,0.0055184720298938,False,,,,,,
,,,0.0015530069219951,0.004638003154646,False,,,
,,,,,,0.0051783253523164,0.0109988046968378,False
0.0035596443740941,0.0023787798469213,False,,,,,,
,,,0.0033378046033079,0.0020323463518024,False,,,
,,,,,,0.0110057621094628,0.0059637262866662,False
0.0054070590926561,0.0036464728457452,True,,,,,,
,,,0.0028799599236219,0.0028238506417991,True,,,
,,,,,,0.0115655693764992,0.0086540848965526,False
0.0030967735959782,0.006526737321348,True,,,,,,
,,,0.0016841966051897,0.0061077860911958,True,,,
,,,,,,0.0060768580578487,0.012266362918195,False
0.0012127758186829,0.0030643995920505,True,,,,,,
,,,0.0005498609431954,0.0021417636801394,True,,,
,,,,,,0.0011129239027133,0.0050047488145962,True
0.0001355325461118,0.002270256129587,True,,,,,,
,,,0.0004327769950637,0.001543062616092,True,,,
,,,,,,0.0062375654006679,0.0097138040318579,False
0.0029480804143659,0.0040330707410199,False,,,,,,
,,,0.0026804771532452,0.0035609745426188,False,,,
,,,,,,0.0038189695028712,0.0087328003162695,False
0.0010744669144053,0.0025385337916467,True,,,,,,
,,,0.0036724884683892,0.002209945348284,True,,,
,,,,,,0.0039188023871994,0.0057463233430946,True
0.0022166215986,0.0037033080891206,False,,,,,,
,,,0.0020737478158412,0.0033415494836821,False,,,
,,,,,,0.0014294149924428,0.0087723835748235,False
0.0008036307230356,0.0032880391824908,False,,,,,,
,,,0.0003682303637775,0.0030210547726271,True,,,
,,,,,,0.0059575649853083,0.0067108044557372,False
0.0066247221662477,0.0024360786824524,True,,,,,,
,,,0.0036531240422777,0.0019292196924178,True,,,
,,,,,,0.0078984735151137,0.0060889401911443,False
0.0013187692285384,0.0050099371118028,True,,,,,,
,,,0.0012125472102125,0.0045670027625956,True,,,
,,,,,,0.0018707185143203,0.0123758841835041,False
0.0055829987107188,0.0027894969319837,True,,,,,,
,,,0.0024509696649323,0.0026597063829227,True,,,
,,,,,,0.0065061578812592,0.0065291609420232,False
0.0008773716170793,0.0047683277871222,True,,,,,,
,,,0.0005070230478819,0.004500509218655,True,,,
,,,,,,0.0018418924802564,0.0096023485119136,False
0.0014987967110621,0.0023454566051454,True,,,,,,
,,,0.0011900506887704,0.0021791103736451,True,,,
,,,,,,0.0056924774565916,0.0054452560558215,False
0.0070821018763986,0.0026564687419769,True,,,,,,
,,,0.0046393982715521,0.0025085147423154,True,,,
,,,,,,0.0103430097983058,0.006091244776797,False
0.0050391021777164,0.0029608628912875,True,,,,,,
,,,0.0035629182576059,0.0027347317708222,True,,,
,,,,,,0.0080917507821625,0.0069664511790432,False
0.0010061614783444,0.0039579777011023,False,,,,,,
,,,0.0007277393454818,0.0035223695002568,False,,,
,,,,,,0.0024225700067541,0.0081739903705573,False
0.0140358914287898,0.0074313560214447,False,,,,,,
,,,0.0121881244368207,0.0062840270252438,False,,,
,,,,,,0.0176775350432685,0.0136461381224867,False
0.0078009258480708,0.0034730907819243,True,,,,,,
,,,0.0054218344208805,0.0032353949786352,False,,,
,,,,,,0.0150763813567424,0.0062324867087196,False
0.0068610527832318,0.0045492556960245,False,,,,,,
,,,0.0045012014420173,0.0042098560398887,False,,,
,,,,,,0.0067625881112908,0.0088501971910118,False
0.0009967309406848,0.0022869095683386,True,,,,,,
,,,0.0001428442095929,0.0021268487597382,True,,,
,,,,,,0.0060583461135124,0.0047654170749692,False
0.0002291133967872,0.0024387731492273,False,,,,,,
,,,0.0009335306241961,0.0020633616952258,False,,,
,,,,,,0.0018339186509613,0.0075799150542145,False
0.001887276376221,0.0045014735869174,False,,,,,,
,,,0.001559497092193,0.0045384369859575,False,,,
,,,,,,0.0050336820013276,0.0065965230646435,False
0.0016564426504573,0.005116056139856,False,,,,,,
,,,0.0013657728324163,0.0048115065366318,False,,,
,,,,,,0.0047874848440843,0.0098477338521096,False
0.0046291334156606,0.0025161724885524,True,,,,,,
,,,0.0017133125034305,0.0021799849287159,True,,,
,,,,,,0.0050887003228984,0.0083152046393052,False
0.00026943291229,0.003520964774809,True,,,,,,
,,,0.0003353542751866,0.0035171702385282,True,,,
,,,,,,0.0037249357929467,0.0082347207008714,False
0.0004288630270572,0.002714002056636,True,,,,,,
,,,0.0006572511944386,0.0017988659466771,True,,,
,,,,,,0.0029143461799338,0.0069407848486085,False
0.0054344822678709,0.0034817801980877,False,,,,,,
,,,0.0041556102276887,0.0028274421720308,False,,,
,,,,,,0.0075123370992383,0.0052614950655891,False
0.0017564826173462,0.0055074031273057,True,,,,,,
,,,0.0020288219391798,0.0048571980502673,True,,,
,,,,,,0.0024704011732903,0.0101143878245904,False
0.0014396000551618,0.0038151313651774,False,,,,,,
,,,0.0015008272577821,0.0036289627815025,False,,,
,,,,,,0.0021398518780267,0.0066952081579391,False
0.0024904371434933,0.0041853834706115,False,,,,,,
,,,0.0022843429194673,0.0040916713252683,False,,,
,,,,,,0.0107471015095966,0.0072486483659741,False
0.0009493327122838,0.0032827809412273,True,,,,,,
,,,0.0002030703859803,0.0031241328765846,True,,,
,,,,,,0.0038409320030471,0.0082699934659862,False
0.0055991427199649,0.0067072129795559,True,,,,,,
,,,0.0036908239892044,0.0054863742468483,True,,,
,,,,,,0.0126042063391971,0.0138971744183273,False
0.0043415772061789,0.0039887199232633,True,,,,,,
,,,0.0055622525843752,0.0038825689346629,True,,,
,,,,,,0.0119610114404421,0.0077798062777639,False
0.0010570895438471,0.0081007366229514,True,,,,,,
,,,0.0009794774941721,0.0071674473508676,True,,,
,,,,,,0.0047045453848427,0.0169261811363059,False
0.0011319174589892,0.0031097443466638,True,,,,,,
,,,0.0016942048634579,0.0025939947441279,True,,,
,,,,,,0.0056981996218836,0.0059419176241458,False
0.0114433302672223,0.0078992967280201,False,,,,,,
,,,0.0095202550646869,0.0073787019729584,False,,,
,,,,,,0.0120891536116626,0.0142830080168911,False
0.0026028876560349,0.0053359220187663,False,,,,,,
,,,0.0021133444235036,0.0043087534636948,False,,,
,,,,,,0.0127126709626411,0.0119227535484971,False
0.0017637030732009,0.0047850989058861,False,,,,,,
,,,0.0020844326341732,0.0047245724685602,False,,,
,,,,,,0.0012266071770111,0.0048639015232055,False
0.0008834462722992,0.002665166181087,True,,,,,,
,,,0.0009203662264002,0.0017631826870968,True,,,
,,,,,,0.0027500935051178,0.0073061339520067,False
0.0030158506443817,0.0044258148991483,True,,,,,,
,,,0.0020821916458193,0.0035761178279923,True,,,
,,,,,,0.0051844951336131,0.008983407078437,False
0.002413929563533,0.002581734760685,True,,,,,,
,,,0.001649151918041,0.0021212310300769,True,,,
,,,,,,0.0052539350446104,0.0068765567552474,False
0.0070515751657966,0.0021230432779325,True,,,,,,
,,,0.0060118596959094,0.0019083875400256,True,,,
,,,,,,0.0209067406489586,0.0058504201013205,False
0.0025088578147357,0.004513993084125,False,,,,,,
,,,0.0040850279721836,0.0039499241404589,False,,,
,,,,,,0.0075475443030245,0.0084452838763353,False
0.0130778907992805,0.0040184051593667,False,,,,,,
,,,0.0047966684345574,0.0027927555757125,True,,,
,,,,,,0.026928403001072,0.0150722616730293,False
0.0046499508812061,0.0039016919077053,True,,,,,,
,,,0.0028459311194777,0.0033613718455472,True,,,
,,,,,,0.0251074592593668,0.0084756286703443,False
0.0002122900196817,0.0028557027037712,False,,,,,,
,,,0.0008581544449136,0.0020021023555899,False,,,
,,,,,,0.0044991729519456,0.0083936821084752,False
0.0011559349023141,0.0045438343223185,False,,,,,,
,,,0.0002566529930278,0.0043627124225503,False,,,
,,,,,,0.0061660227841653,0.0072767504291682,False
0.0014641906208577,0.0017573640677044,True,,,,,,
,,,0.0012476353477133,0.0016114028281659,True,,,
,,,,,,0.0018585880969161,0.0073507417764619,False
0.0088832620651973,0.0042921762925744,True,,,,,,
,,,0.0083297527079968,0.0030387306329739,True,,,
,,,,,,0.016810575400264,0.0101820186877686,False
0.0022380556604365,0.0028230567536158,True,,,,,,
,,,0.0004545826896965,0.0027809276102408,True,,,
,,,,,,0.0073528311031791,0.0097270937296353,False
0.0029011863495393,0.0065665999266349,False,,,,,,
,,,0.0034902609476177,0.0060522582151972,False,,,
,,,,,,0.0055082801342584,0.0118210901661146,False
0.0007988788618033,0.0020706209894408,True,,,,,,
,,,0.0013925097399391,0.0015695485100099,True,,,
